"Family","A07.1","A07.3","A07.4","A08.1","A08.2","A08.4","A29.1","A29.2","A29.3","B09.1","B09.2","B09.3","B18.2","B18.3","B18.4","B19.2","B19.3","B19.4","B33.1","B33.2","B33.3","B34.2","B34.3","B34.4","B37.1","B37.2","B37.3","B43.2","B43.3","B43.4","B56.1","B56.2","B56.4","C13.1","C13.3","C13.4","E11.1","E11.3","E11.4","E41.1","E41.2","E41.3","G01.1","G01.2","G01.3","G17.1","G17.2","G17.3","G23.2","G23.3","G23.4","G39.1","G39.3","G39.4","G48.1","G48.2","G48.4","H27.3","H28.1","H28.2","H28.4","H30.2","H30.3","H30.4","H44.1","H44.2","H44.4","L10.2","L10.3","L10.4","L27.1","L27.4","L55.1","L55.3","L55.4","M20.1","M20.2","M20.4","M22.2","M22.3","M22.4","M32.1","M32.2","M32.4","N02.2","N02.3","N02.4","N35.1","N35.3","N35.4","N51.1","N51.3","N51.4","O14.1","O14.2","O14.4","O21.1","O21.2","O21.4","O53.1","O53.2","O53.3","P40.1","P40.2","P40.4","R06.2","R06.3","R06.4","R12.1","R12.2","R12.4","R15.1","R15.2","R15.3","R16.1","R16.2","R16.4","R36.1","R36.2","R36.4","R49.1","R49.2","R49.3","R54.2","R54.3","R54.4","S03.1","S03.3","S03.4","S05.1","S05.2","S05.3","S42.2","S42.3","S42.4","S47.1","S47.3","S47.4","S50.2","S50.3","S50.4","S57.1","S57.2","S57.3","S58.2","S58.3","S58.4","S60.1","S60.2","S60.4","S61.1","S61.2","S61.3","T04.2","T04.3","T04.4","T62.2","T62.3","T62.4","V26.2","V26.3","V26.4","V26.5","V45.1","V45.2","V45.3","W25.1","W25.2","W25.3","W31.1","W31.3","W31.4","W46.2","W46.3","W46.4","W59.1","W59.3","W59.4","Z24.1","Z24.2","Z24.4","Z52.1","Z52.2","Z52.4"
"Ancylidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Astacidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,972,1828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,40,1809,3068,2837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Athericidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,655,1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baetidae",0,0,0,0,0,0,229,126,175,2104,592,1094,0,0,0,1,1,0,6,344,262,9,22,67,115,160,4,3,18,1,0,0,0,37,84,16,1,32,3,0,3086,5,12,64,1,6,18,9,3,0,12,1,6,1,26,1,6,16,259,4,0,7,1,15,110,3,79,751,12,2,308,69,0,0,0,2,40,1,19,7,0,1,90129,4317,12,13,0,422,166,481,0,1,1,0,0,0,49,17,44,0,71,14,14,38,310,35,412,78,2,15,9,19,64,12,0,0,0,139,11,0,267,407,233,0,0,0,152,269,211,12,2,6,1068,39,0,3,86,2,111,126,98,2,58,44,14,17,21,0,0,0,317,264,420,5,51,30,1,2,8,0,0,0,0,52,0,45,40,17,63,253,225,41,497,79,80,28,48,1,3,45,30,5,4,11
"Bithyniidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blephariceridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11,0,0,13758,12359,7167,0,0,0,0,0,0,0,0,0,0,0,0,0,4,74,0,0,0,0,0,0,0,0,0,0,0,0,9,31,74,0,0,0,3,3,0,0,0,0,0,0,0,12,297,936,3,52,135,914,472,758,0,6,7,0,0,0,0,0,0,0,0,0,559,241,1472,525,1903,1819,0,0,0,24,493,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,20,0,0,0,0,0,0,38,0,3,0,0,0,0,0,0,754,50,123
"Bryozoa",0,0,0,0,0,0,0,0,0,84,122,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,77,10,16,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,101,54,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0
"Caenidae",0,0,0,0,0,0,105,182,92,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,195,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,5,84,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,98,43,138,0,0,0,0,0,0,0,0,0,0,0,0,48,3,24,0,0,0,60,9,51,0,17,11,0,0,0,3,70,0,0,0,0,0,0,0,117,63,112,9,38,3,0,0,0,0,0,0,19,46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,20,69,259,19,21,57,32,0,0,0,28,68,3,0,0,0
"Capniidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14206,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,1,0,0,0,0,0,0,0,0,0,329,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,15,0,0,0,0,0,0,0,0,0,660,106,1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,1,232,0,0,0,0,0,0,0,1,73,0,0,0,0,0,0,0,0,0
"Ceratopogonidae",0,0,0,0,0,0,22,3,0,0,6,1,1467,1,0,87,2,1,0,0,0,1,80,0,0,0,0,1,100,0,4,20,0,1159,249,384,0,0,0,0,0,0,0,112,26,486,47,130,23,888,0,0,0,0,0,0,0,4,0,0,0,0,0,0,44,0,12,0,0,0,134,60,4,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,57,11,0,0,0,27,2,2,0,20,500,0,0,0,169,222,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,130,2,0,0,0,0,29,34,41,122,0,0,148,85,4,1,0,1,5,0,41,199,123,43,0,3,0,0,0,0,0,1,1,88,15,85,0,0,0,0,0,0,31,0,14,0,1,234,0,0,0
