"","X","Y","siteID"
"1",2971720.54580815,8828950.26911219,"S001"
"2",2975252.9307592,8830026.53319069,"S002"
"3",2976650.77174303,8830406.45476143,"S003"
"4",2978121.74905524,8830489.58576393,"S004"
"5",2983663.95473988,8830625.53091943,"S005"
"6",2985166.96974503,8831035.21611411,"S006"
"7",2988763.57158128,8831454.03498898,"S007"
"8",2989966.37464246,8831727.31994183,"S008"
"9",2996166.5583435,8834438.51905582,"S009"
"10",2998376.53354706,8838551.53734393,"S010"
"11",3000073.90822148,8845724.34264745,"S011"
"12",3003538.04473112,8851654.17537095,"S012"
"13",3010174.19404515,8854194.64117342,"S013"
"14",3007887.12149824,8859881.59472857,"S014"
"15",3009408.55203797,8863727.81338231,"S015"
"16",3010976.37857802,8863612.81866036,"S016"
"17",3013186.99871014,8864927.57784769,"S017"
"18",3014232.66944256,8866424.46400696,"S018"
"19",3015972.7308641,8866239.7519019,"S019"
"20",3016923.33556714,8867544.52785854,"S020"
"21",3018829.91038128,8870012.25179163,"S021"
"22",3020732.84660809,8872700.14167319,"S022"
"23",3021299.69633681,8873709.96528655,"S023"
"24",3023094.99233162,8876071.65845153,"S024"
"25",3024212.50305498,8877526.20775173,"S025"
"26",3026347.290671,8879769.21142952,"S026"
"27",3028365.31501848,8881342.60159823,"S027"
"28",3033407.47157864,8883922.03802097,"S028"
"29",3034088.26576366,8885546.93512855,"S029"
"30",3035392.15758809,8888236.1805564,"S030"
