Species,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020,S021,S022,S023,S024,S025,S026,S027,S028,S029,S030
Luxilus chrysocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepomis peltastes,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,
Cyprinella spiloptera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etheostoma caeruleum,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
Umbra limi,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,
Nocomis micropogon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esox masquinongy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margariscus margarita,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,
Ictiobus niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameiurus nebulosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Micropterus salmoides,,,,,,,,,,,,,,,124,,,,,,14,,,25,,,,,,
Esox lucius,,,,,,,,,,,,,,,,,,,11,,23,30,16,,,7,,94,,
Aplodinotus grunniens,,,,,8,75,,,,,,,,,,,,,,,,,,,,,,,,
Pimephales promelas,,,,,,,,,,,,,,,,,,,,,,,,222,,,,,,
Lepomis gibbosus,,,,,,,,,,,,,,,,,,,,35,,184,,,,,,,,
Pomoxis nigromaculatus,,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,
Ameiurus natalis,,,,,,,,,,,,,,,,,,,,64,,156,,,16,,,,,
Proterorhinus semilunaris,,,,,,307,,,,,,,,,,,,,,,,,,,,,,,,
Rhinichthys cataractae,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,,
Moxostoma carinatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiodon tergisus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notropis buchanani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noturus miurus,,,,,,86,,,,,,,5,,217,,,,,,,,,,,,,,,
Cottus cognatus,,,,,,,,,,,,,,,,,,,,,,87,85,270,104,28,29,,,
Pomoxis annularis,,,,,,,,,,,,,,,,,,,,,221,,,,,,,231,3,
Rhinichthys atratulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626,
Cottus bairdii,,,,,,,,,,,,,,,,,44,77,,198,,53,36,172,58,17,13,,,
Etheostoma microperca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535,259
Oncorhynchus mykiss,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,
Lepisosteus osseus,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Lepomis macrochirus,,,,,,,,,,,,,,,,,,,,,57,,,,,,,758,93,
Dorosoma cepedianum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notropis atherinoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepomis cyanellus,,,,,,,,,,,,,,,,,,,,18,,,,4,,,,,494,
Percina maculata,,,,19,,,,,,,,,,,,,923,,237,275,,,,,,,,33,,
Noturus stigmosus,9,3,,,,,1124,,,,,,363,,,,,,,,,,,,,,15,,,
Noturus flavus,,,,,,,,,153,,,,26,,,,33,,3,118,,69,,,,,,,3,77
Ameiurus melas,,,,,,,,,,,,,,,,,,,,,143,,160,,,,,,,262
Ammocrypta pellucida,,,,,,,,,,,,,,,489,,,,,,,,,,184,239,,,,
Nocomis biguttatus,,,,,,,,,,,,,,,,,,,,,175,104,,,138,,,28,1827,
Percina caprodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notropis photogenis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sander vitreus,1012,,,,,1272,,,,,,,,,,,,,,,,,,,,,34,,,
Notropis rubellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etheostoma blennioides,,,,10,,,,,,,,,,,,,359,42,220,139,,103,,,71,41,,22,,
Semotilus atromaculatus,,,,,,,,,,,,,,,,,,,,58,189,,,70,6,196,187,1189,89,1847
Moxostoma valenciennesi,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,
Oncorhynchus tshawytscha,,5,,,,,,,,,,,,,,,700,,,,,36,,,,,2969,,,65
Pimephales notatus,,,,,,,,,,,,,,,,,266,460,,291,,174,,10,,,,,1353,1453
Ambloplites rupestris,,,,,,,,290,,,,,601,,,3,,,,37,,92,,16,,,,,862,
Culaea inconstans,,6,,4,,,,,,,,,,,,,,,169,454,,509,712,1538,699,,1045,,,1555
Etheostoma nigrum,,7,,,,,,,,,,,,,,530,446,,405,446,,80,208,237,142,284,981,739,,2901
Micropterus dolomieu,,,,,,,,,1188,,,,,,,,,,,,,,,,,,,,,
Moxostoma duquesnii,,,,,,,,,1013,,,,79,,198,,,,,,,,,,,,,,,
Ictalurus punctatus,65,,,3,4,,,,,,,,,,,,1168,41,,30,,,,,,,,,,
Hypentelium nigricans,,,,,,,,,409,96,,,,,,6,52,,,,,,,,,,,660,,
Luxilus cornutus,,,,,,,,,,,,,,,,,,,,,82,,,,70,,242,4547,2645,1247
Notropis volucellus,,,,,,,,,,,,,,,,,134,,,195,,,,,,,,,,
Moxostoma macrolepidotum,,,,,,,,,744,,,,25,,174,,,,,36,,,,,,,,,,
Catostomus commersonii,,7,,,,124,,,245,,,,363,,,301,315,,48,1251,1813,501,125,1104,504,131,780,2120,2489,2148
Moxostoma anisurum,,,,,,,,30,619,191,,,43,,329,99,258,,,34,,311,,152,,,155,,,
Moxostoma erythrurum,,,,,,25,11,,352,,28,,23,,160,72,308,89,92,227,,121,,,,235,,,,
Cyprinus carpio,,848,,10,20,102,,,,43,,,87,,139,320,684,6,211,1012,549,1321,1509,56,1463,,622,2649,650,1427
Neogobius melanostomus,12084,5964,26,185,17290,3869,2577,15185,29193,23560,669,4,14904,,29081,2479,10371,7470,3127,991,19378,3489,6369,1076,4089,6128,11211,49909,24555,23031
